,cluster
MN000821,38
MN246325,38
KX915812,58
CY258388,38
MK623413,58
MN000829,38
MN246088,38
KX414201,38
CY219244,38
CY222717,38
MH079923,38
MN000840,38
MK744792,38
MT244153,58
KX413433,38
KX918036,38
CY258396,38
MK623421,58
MN246330,38
MN221733,38
KX413441,38
KX413449,38
CY258660,58
MK623429,58
KX413505,38
KX919252,58
CY258364,38
MK623437,58
MN246346,38
MN221749,38
KX413513,38
KX919260,58
MG830871,38
MG974173,38
CY258372,38
MK623445,58
MN246354,38
KX919268,58
CY258356,38
MN003564,58
KU589339,58
KX919276,58
CY258668,58
MK623453,58
MN003571,58
KX004273,58
CY261874,58
MK623461,58
KX413633,38
KX919244,58
CY261882,58
MK623469,58
MN372554,38
MN246362,38
KX413641,38
KX916460,38
KX916452,38
CY260833,38
MK623477,58
MN246370,38
KX919284,58
MG978491,58
CY261866,58
MN000848,38
MN221765,38
MN246378,38
KT842297,38
KX916996,38
CY219252,38
MH079931,38
KX916324,38
CY260849,38
MK630874,58
MN003587,58
KX413833,38
KY003564,38
CY261906,58
MK630882,58
MN246386,38
KX413841,38
KY003522,38
CY261890,58
MK630890,58
MN246394,38
KX413849,38
MK630899,58
MN319009,38
MN246402,38
KX413857,38
MN000856,38
MK744800,38
MN246410,38
KX004565,58
KY116382,38
CY260841,38
MN084168,38
KX413865,38
KY116390,38
CY261359,38
MK630906,58
MN084176,38
KX413873,38
KY116406,38
CY261351,38
MN246421,38
MK744224,38
MN083386,58
KX004787,58
KY116398,38
CY261367,38
MG974181,38
MK999474,58
MN084184,38
MN423395,38
KX004627,58
CY211586,38
KY116414,38
CY261375,38
MN083394,58
KX414313,38
CY222709,38
CY219236,38
MH079631,58
MK676380,58
MT244168,58
KX413881,38
KY116422,38
KY289237,38
CY261383,38
MN423401,38
MN084192,38
KX413985,38
KY116598,38
CY261391,38
MN160792,58
KX006173,58
KY116590,38
CY261407,38
MN160800,58
KX413054,38
CY213802,38
KY116606,38
CY261399,38
MN160808,58
KY116614,38
MG978507,58
MN160816,58
KX414848,38
KY116582,38
CY211618,38
MG978515,58
CY262081,58
MN221770,38
MN423518,38
KX414856,38
CY261663,38
MN160824,58
KX415200,38
KY289583,38
CY263318,58
MG973269,58
MN423374,38
MN221778,38
KX414833,38
KY289757,58
KY289677,58
CY264417,38
MN221786,38
MN423526,38
CY211626,38
CY210230,38
CY264425,38
MN221794,38
MN423530,38
GQ117040,58
KC881741,58
KX006221,58
CY218905,58
MH079639,58
MK676388,58
MT245339,38
MT245346,38
KY289632,38
KY289038,38
CY264965,38
MN221802,38
MN423542,38
CY211634,38
KY289593,38
CY265371,58
MN221810,38
MN423550,38
KY289591,38
CY265363,58
MN423423,38
MN221818,38
MN552702,58
MN229767,58
KY289450,38
CY265205,38
MN229775,58
MN552710,58
CY265523,58
MN423558,38
CY265515,58
MN552718,58
MN229783,58
KY289329,38
CY265157,38
MN552726,58
MN229791,58
KY289416,38
CY265165,38
MH126478,38
MN552734,58
MN229799,58
KY289427,38
CY265173,38
KR057670,38
KX006213,58
MT245354,38
MT245362,38
KY289384,38
CY265189,38
MH246298,38
MN229815,58
MN552742,58
KY289355,38
CY265197,38
MN229823,58
MN552750,58
CY265181,38
CY213330,58
CY209488,58
MG830882,38
MH246306,38
MG974194,38
MN318810,58
CY209392,38
MH729440,38
MN318818,58
CY209400,38
CY209408,38
MG830898,38
MG974210,38
MN318834,58
CY209416,38
MN318842,58
CY209424,38
MN318850,58
MG974234,38
MH126487,38
MG830921,38
MN371533,38
MN507318,38
KC882908,38
KT842575,38
KX006155,58
CY220871,58
CY233824,58
MH125706,58
MT245370,38
CY210655,38
MH082011,38
MN507252,58
CY210663,38
CY227990,38
CY210647,38
MN507323,38
CY227070,38
CY210639,38
MH082036,38
MN552755,58
CY211842,38
MH082044,38
CY211826,38
MH083389,58
CY211834,38
MH082052,38
MN638475,38
CY211858,38
CY211850,38
CY215801,38
MH083397,58
CY211866,38
MH126498,38
KC882257,58
KC892437,38
KR057686,38
KX006285,58
CY220831,58
MH125714,58
MT244172,58
MT499617,58
CY213426,58
CY213434,58
CY233800,58
MN819931,38
MN819617,58
MN819939,38
CY213394,58
CY239513,58
MN819947,38
CY212538,38
MN819625,58
CY212530,38
MT030934,38
CY212514,38
MN948452,38
MN819955,38
CY212522,38
CY212490,38
CY239697,38
MN819633,58
KR057694,38
KX006301,58
CY220255,38
MH126505,38
MK676420,58
MT244183,58
CY212498,38
MN819641,58
CY212506,38
MN819963,38
CY212962,38
MN819971,38
CY212890,38
MN881266,58
CY212906,38
MN881274,58
CY212882,38
MN881799,38
CY212898,38
MN881282,58
CY212914,38
MN976222,58
MN881293,58
KT837151,38
KT835967,38
KX006165,58
CY220823,58
MH125723,58
MN000515,38
MK676883,38
MT303272,58
CY212978,38
MN948091,58
CY212986,38
MN948457,38
CY213242,38
CY228110,38
MN948465,38
CY214282,58
CY217858,58
MN948099,58
CY214290,58
MT168712,38
MN948473,38
CY214098,38
MN948107,58
CY214114,38
CY214122,38
MN948123,58
CY214146,38
MN948481,38
MT499721,38
CY214106,38
CY228165,38
MN948131,58
KC882290,58
KT836045,38
KX414321,38
CY220263,38
MH125730,58
MK715754,58
MT303280,58
CY214130,38
MT168720,38
MN948489,38
CY214138,38
MN948139,58
CY214154,38
MN948147,58
CY214162,38
CY214170,38
MN948155,58
CY215234,58
CY216865,58
MN948497,38
MT030851,38
CY214890,38
MN948163,58
CY214906,38
MN975571,38
MN975564,38
CY214922,38
MN976233,58
MN976225,58
MN976250,58
MN976242,58
KC882293,58
KX414329,38
CY220271,38
MH125738,58
MK715762,58
CY214930,38
MN976266,58
MN976256,58
CY214914,38
MN976282,58
CY214874,38
MN976298,58
MN976287,58
MH540980,38
CY214866,38
MN976303,58
MN976314,58
CY228189,38
CY214882,38
MT030939,38
MN975579,38
CY218913,58
MN976322,58
CY239561,58
CY220807,58
MN976329,58
CY220815,58
MN976337,58
MT030955,38
MT030947,38
MT030963,38
MT030971,38
KC892829,38
KX006261,58
CY220399,38
MH126513,38
MK715770,58
MT303296,58
MT034673,58
MT034681,58
MT034689,58
MT034705,58
MT034697,58
MT034714,58
MT057935,58
MT057943,58
MT034719,58
MT034730,58
MT057954,58
MT057971,58
MT057957,58
MT057984,58
MT057975,58
MT057993,58
MT057997,58
KT836763,58
KX006229,58
CY224830,38
CY223677,38
MH126521,38
MK715778,58
MT303304,58
MT058007,58
MT058015,58
MT058024,58
MT058031,58
MT056210,38
MT056218,38
MT058039,58
MT167377,58
MT058047,58
MT058055,58
MT167385,58
MT167393,58
MT167401,58
MT167409,58
KT843046,38
KX414337,38
CY220703,38
MT303312,58
MT167417,58
MT167425,58
MT168725,38
MT168741,38
MT168751,38
MT167433,58
MT168765,38
MT168758,38
MT167441,58
MT167449,58
MT244191,58
MT244197,58
MT167457,58
MT167465,58
KX414345,38
CY220687,38
MH126529,38
MH792506,38
MT303320,58
CY220671,38
MH126537,38
MH792514,38
MK715794,58
MT330657,58
KT837826,38
KX006308,58
MK715801,58
MT330664,58
KX406467,58
CY220695,38
CY243838,38
MH125745,58
MK715810,58
MH701052,38
MH701060,58
MH701068,58
MH701076,38
MH701084,38
KX406475,58
CY221973,38
CY230966,38
MH898024,38
MK715818,58
MT330672,58
KX406483,58
CY223469,58
MH125754,58
MK715826,58
MT330678,58
KX406491,58
CY223477,58
MK715834,58
MT341962,38
MT341954,38
CY121424,38
CY223485,58
MK715842,58
CY223533,58
MH183498,58
MK715850,58
MT341975,38
MT341968,38
KX406675,58
KY045043,58
CY224254,58
MK715858,58
KT836705,58
KX414689,38
CY224150,38
MH585884,38
MK715866,58
MT330701,58
KX414697,38
CY224158,38
CY230466,38
MK744232,38
MT330713,58
KX414705,38
MH183509,58
MK715874,58
MT341985,38
MT341993,38
KX414872,38
KX414880,38
CY234248,38
MH306811,38
MT330723,58
CY225734,58
MK715882,58
MT330725,58
KX414817,38
CY236106,58
CY225766,58
MH183518,58
MK744240,38
MT330739,58
KX414825,38
CY225390,38
MH183525,58
MK772949,58
KT839947,38
CY225742,58
MH306815,38
MT375698,58
KX917004,38
KX414864,38
CY225750,58
MH359854,58
MK772965,58
KT839894,38
KT841970,38
CY225790,58
MH305684,58
MK772973,58
KX407379,58
CY225758,58
CY236098,58
MK772175,38
MN246429,38
MT419553,58
KX415112,38
CY225774,58
MH305700,58
MN000864,38
MK772183,38
MT466136,58
KX415120,38
CY225782,58
MH359862,58
MK772981,58
MT466144,58
KX415128,38
CY231162,58
CY229069,58
MH359870,58
MK772993,58
MT466152,58
KT836895,58
KX415136,38
MH359878,58
MK772997,58
MT466963,38
MT499725,38
KT837514,38
KX407387,58
CY228869,38
MH898032,38
MH358534,38
MK773002,58
KT838314,38
KX407395,58
CY229181,58
MK241245,38
MH792530,38
MT499622,58
KT838329,38
KX407403,58
CY228877,38
MK240804,38
MK773010,58
MT499738,38
KT837448,38
KX407411,58
CY229189,58
MH669947,58
MK855660,58
MT499630,58
KX415144,38
CY236190,58
CY236182,58
MH669955,58
MN084203,38
MK856601,38
KT836602,58
KX407419,58
CY236198,58
CY236206,58
MH669963,58
MN084211,38
MK856609,38
KT836870,58
KX407427,58
CY236307,58
MH669971,58
MK855669,58
KX407435,58
CY236299,58
MK856614,38
MN000872,38
KX415152,38
CY236000,38
MK239097,37
MN246437,38
MK856381,38
KX407507,58
CY244473,38
CY242030,38
MK855677,58
KX415160,38
CY244481,38
CY242038,38
MK856626,38
MN084219,38
KX917036,38
CY242509,58
MK855685,58
CY242517,58
MK855693,58
KX415216,38
CY242366,38
MK855701,58
KX415224,38
CY242374,38
MK446108,38
MK363443,38
MK855709,58
KX415232,38
CY242382,38
MK364336,58
MK855717,58
CY244782,58
MK364384,58
MK855725,58
CY244609,38
MK364416,58
MK855733,58
KX409843,58
CY244601,38
MK364344,58
MK556917,58
KX415784,38
KX415792,38
CY245510,58
MK364280,58
MK556929,58
KM821334,38
CY114373,38
KX415800,38
MK364408,58
MK855741,58
MK381997,38
KX409851,58
CY245174,38
MK446015,38
MK363435,38
KX409859,58
CY245166,38
MK364328,58
MN084235,38
MK856649,38
MK556937,58
MK399138,58
MK856658,38
MN000888,38
MK502352,38
KX415912,38
KX415904,38
CY245494,58
MK398657,38
MK623930,38
MK855749,58
KX415920,38
CY245358,38
MK271170,58
CY245350,38
MN371624,58
MK399184,58
KX409939,58
CY245366,38
MK398673,38
MK624028,38
MK855765,58
KT842999,38
CY245374,38
MK399224,58
MK556953,58
KX415928,38
CY249955,38
CY257597,38
MK743218,58
KT836680,58
KX415936,38
MK856681,38
KT843006,38
CY257797,38
CY255893,38
MK399216,58
MK856502,38
KT843424,38
KX415944,38
MK856693,38
MN221837,38
KU591015,38
KX409955,58
CY256133,38
MK855773,58
KU591735,38
KX409963,58
CY256141,38
MK855781,58
KU591023,38
KX409971,58
CY256109,38
MK626101,58
MK855788,58
KU591031,38
KX409979,58
CY256101,38
MK999482,58
KU591039,38
KX409987,58
CY256085,38
MK475478,58
MN000893,38
MN246081,38
KU509887,58
KX415952,38
CY256077,38
MK475470,58
MN221845,38
MN000901,38
KU591047,38
KX914988,58
CY256069,38
MK626109,58
MN246445,38
MN000909,38
KU509895,58
KX004341,58
KX409995,58
CY256093,38
MK626117,58
MK999490,58
MN169360,38
MN169368,38
KU591055,38
KX410003,58
CY256117,38
MK626125,58
MN246453,38
MN000917,38
KT836892,58
KX415960,38
CY260364,38
CY256125,38
MN422940,58
MK475253,58
MN000925,38
MN246074,38
KU591677,38
CY256341,38
CY260441,38
MK626133,58
MN221853,38
MN000933,38
MK960372,38
KU590820,38
KU591684,38
KX415968,38
CY256333,38
MK626141,58
MN000941,38
MN084017,38
MN074170,38
KU591692,38
CY256325,38
MK744811,38
MK474837,38
MK999498,58
KX412454,38
KX416680,38
CY256269,38
CY259986,38
MK744819,38
MK474861,38
MK999506,58
KX412462,38
KX411259,58
CY256277,38
MK626149,58
MK999514,58
KU590828,38
KU591700,38
KX416688,38
CY256301,38
CY260427,38
MK626157,58
MN221514,38
MN000949,38
KX411267,58
MK626165,58
MN084243,38
KT889204,38
KT889205,38
MH701092,38
MH701100,38
MH701108,38
MH701116,38
MH701124,58
MH701132,38
MH701140,38
MH701148,38
MH701156,38
MH701164,38
MH701172,38
MH701180,58
MH701188,58
MH701196,58
MH701204,58
MH701220,58
MH701228,58
MH701236,58
MH701244,38
MH701252,58
MH701260,38
MH701268,38
KT889209,38
MH701276,38
MH701284,38
MH701292,38
MH701300,38
MH701316,38
MH701324,38
MH701340,38
MH701348,38
MH701356,38
MH701364,38
MH701372,58
MH701380,38
MH701388,38
MH701396,38
MK898994,38
MK899002,38
MK899010,38
MK899018,38
MK899026,58
MK633033,58
MK633041,58
MK633049,58
MK633057,58
MK633065,58
MK633073,58
MK633081,58
MK633089,58
MK633097,58
MK633105,58
MK633113,58
MK633121,58
MK899034,58
MK633129,58
MK633137,58
MK633145,58
MK633153,58
MK633161,58
MK633169,58
MK633177,58
MK633185,58
MK633193,58
MK633209,58
MK633217,58
MK899042,58
MK633225,38
MK633233,58
MK633241,58
MK633249,58
MK633257,58
MK633265,58
MK633273,58
MK633281,58
MK633289,58
MK633297,58
MK633305,58
MK633313,58
MK633321,58
MK633329,58
MK633337,58
MK633345,58
MK633353,38
MK633361,58
MK633369,38
MK633377,58
MK633385,38
MK899050,38
MK899058,38
MK899066,38
MK899074,58
MK899082,58
MK633393,58
MK899090,58
MK899098,38
MK899106,38
MK633401,58
MK633417,58
MK633425,58
MK899114,58
MK899122,58
MK899130,58
MK899138,38
MK899146,38
MK633440,58
MK633441,58
MK899162,58
MK899170,38
MK899178,58
MK633449,58
MK633457,58
MK633465,58
MK899186,38
MK899194,58
MK899202,58
MK633473,58
MK633481,58
MK899210,58
MK633489,38
MK633497,58
MK899218,58
MK633505,58
MK633513,38
MK633521,58
MK633529,58
MK633537,58
MK633545,58
MK633553,58
MK899226,58
MK633561,58
MK633569,58
MK633577,58
MK899242,58
MK899250,58
CY090941,38
CY091013,38
CY091053,38
CY092241,38
CY092880,58
CY091581,38
CY091221,38
CY091429,38
CY092249,38
CY092281,38
CY091173,38
CY091501,38
CY092265,38
CY091213,38
CY092273,38
CY091517,38
CY091461,38
CY091533,38
CY091541,38
CY091549,38
CY092257,38
MG279314,38
MG279322,38
MG914123,38
MG914131,38
MG914139,38
MG914147,38
MG914155,38
MK898757,38
MG914163,38
MG914171,38
MG914179,38
MG914187,38
MG914195,38
MG914203,38
MG914211,38
MG914219,38
MG914227,38
MG914235,38
MG914243,58
MG914251,38
MG914259,38
MG914267,38
MG914275,38
MG914283,38
MG914291,38
MG914299,38
MG914307,38
MG279262,38
MG914323,38
MG279270,38
MG279278,38
MK898765,38
MN873716,38
MN873724,38
MN873733,38
MN873742,38
MN873748,38
MN873758,38
MN873766,38
MN873776,58
MN873787,58
MN873788,38
MN873797,38
MN873804,58
MN873812,38
MN873820,58
MN873828,38
MN873838,38
MN873844,38
MN873852,38
MN873860,58
MN873868,58
MN873876,38
MN873890,58
MN873892,38
MN873900,38
MN873908,38
MN873916,38
MG914331,38
MG914339,38
MG914347,38
MG914355,38
MG914363,38
MG914371,38
MG914379,38
MG914387,38
MG914395,38
MH701404,38
MH701412,38
MH701420,38
MH701428,38
MH701436,58
MH701444,58
MH701460,58
MH701468,38
MH701476,38
MH701484,38
MH701492,38
MH701500,58
MH701508,38
MH701516,38
MH701524,38
MH701532,38
KT889212,38
MH701540,38
MH701548,58
MH701556,38
MH701564,38
MH701572,38
CY025739,38
CY027843,37
CY026355,37
CY026531,37
CY026763,37
CY025421,38
CY026315,37
CY026675,37
CY026539,37
CY025373,37
CY041450,37
CY027891,37
CY028459,37
CY027579,38
CY028307,37
CY028467,37
CY027355,37
CY026787,38
CY027211,37
CY031563,38
CY026195,38
CY038791,38
CY037543,38
CY038815,38
CY066447,58
CY063179,58
CY063155,58
CY063163,58
CY063171,58
CY066199,58
CY066207,58
CY066215,58
CY066223,58
CY066231,58
CY066239,58
CY066247,58
CY055447,58
CY063187,58
CY066255,58
CY066263,58
CY066271,58
CY066279,58
CY066287,58
CY066295,58
CY066303,58
CY066311,58
CY066319,58
CY066327,58
CY055455,58
CY063195,58
CY066335,58
CY066343,58
CY066351,58
CY066359,58
CY066367,58
CY066375,58
CY066383,58
CY066391,58
CY066399,58
CY066407,58
CY063203,58
CY066415,58
CY066423,58
CY066431,58
CY066439,58
CY064799,37
CY064807,37
CY064815,38
CY064823,38
CY055463,58
CY063211,58
CY064831,37
CY064839,37
CY064847,38
CY064855,38
CY064863,38
CY064871,37
CY064879,38
CY070895,37
CY070903,37
CY070911,37
CY073805,37
CY073813,37
CY073821,37
CY073829,37
CY066519,38
CY068137,38
CY068145,38
CY068153,38
CY073837,37
CY068161,38
CY068169,38
CY068177,38
CY073845,37
CY068185,38
CY068193,38
CY068201,38
CY068209,38
CY068217,38
CY073853,37
CY067921,38
CY067929,38
CY068678,38
CY092758,37
CY055471,58
CY074083,37
CY068686,38
CY092329,38
CY068694,38
CY068702,38
CY068710,38
CY074091,37
CY068718,38
CY068225,38
CY074099,37
CY054755,58
CY092337,37
CY092345,37
CY074107,37
CY074115,37
CY074123,37
CY068726,38
CY092353,38
CY068734,38
CY068742,38
CY066455,58
CY054763,58
CY074131,37
CY068750,38
CY074139,37
CY068758,38
CY068766,38
CY068774,38
CY074147,37
CY068782,38
CY068790,38
CY074155,37
CY054771,58
CY068798,38
CY068233,38
CY068241,38
CY074163,37
CY074171,37
CY068249,38
CY074179,37
CY074187,37
CY074195,37
CY054779,58
CY074203,37
CY074211,37
CY074219,37
CY074227,37
CY074235,37
CY074243,37
CY074251,37
CY074259,37
CY074267,37
CY073861,37
CY054787,58
CY068257,38
CY068265,38
CY074275,37
CY068273,38
CY074283,37
CY074291,37
CY074299,37
CY074307,37
CY074315,37
CY067197,38
CY092361,38
CY068281,38
CY074323,37
CY074331,37
CY068806,38
CY068289,38
CY068297,38
CY074339,37
CY054795,58
CY068305,38
CY074347,37
CY074355,37
CY068313,38
CY074363,37
CY092369,38
CY074371,37
CY092377,38
CY074379,37
CY068321,38
CY054803,58
CY068329,38
CY068337,38
CY068353,38
CY068361,38
CY068369,38
CY074395,37
CY068377,38
CY068814,38
CY054811,58
CY074403,37
CY068385,38
CY068393,38
CY074411,37
CY068401,38
CY074419,37
CY074427,37
CY068409,38
CY068417,38
CY068425,38
CY054819,58
CY074435,37
CY074443,37
CY074451,37
CY074459,37
CY068433,38
CY067937,38
CY067945,38
CY074467,37
CY054827,58
CY074475,37
CY067205,38
CY074483,37
CY068441,38
CY068449,38
CY074491,37
CY067213,38
CY074499,37
CY074507,37
CY074515,37
CY066463,58
CY054835,58
CY074523,37
CY074531,37
CY067221,38
CY067229,38
CY068457,38
CY067237,38
CY068465,38
CY068473,38
CY068481,38
CY074539,37
CY068489,38
CY068497,38
CY067245,38
CY068505,38
CY067253,38
CY068513,38
CY068521,38
CY068529,38
CY054851,58
CY074547,37
CY068537,38
CY068545,38
CY074555,37
CY068553,38
CY074563,37
CY068561,38
CY068569,38
CY054859,58
CY068577,38
CY068585,38
CY068593,38
CY068601,38
CY068609,38
CY068617,38
CY068625,38
CY067969,38
CY067977,38
CY074571,37
CY067985,38
CY067993,38
CY068001,38
CY068009,38
CY074579,37
CY072190,38
CY074587,37
CY068017,38
CY054875,58
CY068025,38
CY068033,38
CY092768,58
CY092769,38
CY068041,38
CY068049,38
CY077425,38
CY068057,38
CY074595,37
CY089540,38
CY068065,38
CY068073,38
CY068081,38
CY073757,38
CY092785,38
CY092784,58
CY074603,37
CY074611,37
CY068089,38
CY068097,38
CY074619,37
CY074627,37
CY068105,38
CY068113,38
CY068121,38
CY074635,37
CY074643,37
CY074651,37
CY054891,58
CY074659,37
CY068822,38
CY068830,38
CY068838,38
CY072198,38
CY072206,38
CY068846,38
CY054899,58
CY068854,38
CY068862,38
CY068870,38
CY068878,38
CY068633,38
CY092800,37
CY054707,58
CY066471,58
CY054907,58
CY054915,58
CY054923,58
CY054931,58
CY054939,58
CY054715,58
CY066479,58
CY054947,58
CY054955,58
CY054963,58
CY054971,58
CY054979,58
CY054987,58
CY054723,58
CY064987,58
CY054995,58
CY055003,58
CY055011,58
CY055019,58
CY055027,58
CY055035,58
CY054731,58
CY066487,58
CY055043,58
CY055051,58
CY055479,58
CY055486,58
CY055494,58
CY055502,58
CY055510,58
CY055518,58
CY062194,58
CY054739,58
CY066495,58
CY062202,58
CY062210,58
CY062218,58
CY062226,58
CY062234,58
CY062242,58
CY062250,58
CY063067,58
CY063075,58
CY063083,58
CY054747,58
CY066503,58
CY063091,58
CY063099,58
CY063107,58
CY063115,58
CY066191,58
CY063123,58
CY063131,58
CY063139,58
CY063147,58
CY071498,58
CY071506,58
CY071530,58
CY083224,58
KJ361900,44
KT888796,38
KY926193,58
KY925399,58
KY925319,58
KY925783,38
KY925136,38
CY081462,38
CY081486,58
CY081470,38
CY081494,58
CY081502,58
CY081510,58
CY081518,58
CY081478,38
CY081526,58
CY081534,58
CY081542,58
CY082984,58
CY081550,58
CY080344,58
HQ200596,13
KU299863,58
KU299793,38
KU299801,38
KU299809,38
KU299817,38
JQ714246,13
KF001396,13
KF918490,13
KF918498,13
CY096602,58
CY164120,15
MN453862,58
CY147350,37
KY924993,58
CY179827,26
EU500844,0
CY127913,19
MF046544,45
KU201943,13
MG964344,13
MG964352,13
GQ923357,45
CY021677,26
KU201744,13
GQ923349,45
KU201920,13
MG964360,13
GQ923317,45
GQ923325,45
GQ465673,58
GQ132146,58
GQ465679,58
GQ402201,58
GQ402205,58
FJ998207,58
GQ132147,58
GQ132142,58
GQ465674,58
GQ465675,58
GQ465676,58
FJ998209,58
GQ132144,58
GQ465678,58
GQ465677,58
GQ465680,58
GQ402194,58
GQ402195,58
GQ402199,58
GQ402196,58
GQ465681,58
GQ402197,58
GQ465682,58
GQ465683,58
GQ402198,58
CY125196,37
DQ009917,20
CY015006,0
CY113549,38
MN569039,38
CY251119,38
CY254713,38
CY254641,38
MN569047,38
CY251607,38
CY252543,38
MN569055,38
CY251623,38
CY252559,38
CY254561,38
MN569063,38
MN569071,38
MN569079,38
MN569087,38
MN569095,38
CY251703,38
MN569103,38
CY252863,38
CY251711,38
MN569111,38
MN569119,38
CY251911,38
CY251167,38
MN569127,38
CY251175,38
MN569135,38
CY250985,38
CY254337,38
MN569143,38
MN569151,38
MN569159,38
MN569167,38
MN569175,38
CY254329,38
CY252279,38
CY255273,38
CY251959,38
MN569183,38
CY255281,38
KY925351,58
KY925776,58
MK212517,5
MK212493,5
MK212557,5
MK212549,5
MK212541,5
MK212533,5
MK212525,5
MK212829,5
MK212821,5
JX101385,5
MH363688,5
MG982838,5
MH363674,5
MK690577,5
MK690585,5
MG386676,5
MG386684,5
MG309802,5
MG309810,5
AB537183,15
MF173214,15
MH266304,5
MF173285,15
MG982841,5
MG982869,5
MG982698,5
MG982786,5
MG982818,5
MG982766,5
MG982806,5
MF173382,5
MH363664,5
KX571026,5
MH363660,5
MN812285,5
MH363669,5
KX571027,5
KJ917342,5
KJ917368,5
KJ917352,5
KJ917376,5
KJ917358,5
KJ917361,5
JX414244,5
GU433345,5
KF826947,5
GU433353,5
GU433361,5
JX195350,5
KF826955,5
JX195358,5
MG254059,49
MG254060,49
KJ013190,38
MG254066,49
MG254067,49
MG254072,49
MG254068,49
MG254070,49
MG254071,49
MG254073,49
MG254061,49
MG254062,49
MG254064,49
MG254063,49
KF042276,5
MF173267,5
MF173231,5
KX570963,5
MF173136,5
KT002536,5
MF173328,5
KX570967,5
MG982865,5
MF173370,5
MG982705,5
MG982873,5
MG982758,5
MG982858,5
MF173123,5
MF173315,5
KX571016,5
MF173305,5
MH266312,5
MF173145,5
MG982762,5
MG982671,5
MG982774,5
MG982741,5
MG982704,5
MG982821,5
MG982814,5
MG982815,5
MG982789,5
MF173371,5
MF173297,5
MF173230,5
MH266320,5
MF173126,5
MF173372,5
MF173387,5
KX570970,5
JN247579,5
JN247587,5
JN247595,5
JN247603,5
JN247611,5
JN247619,5
MH266328,5
MH266336,5
MG982763,5
MG982843,5
JX163256,5
KX571053,5
CY090035,5
MH105825,5
MH105826,5
MH105827,5
MH105828,5
MH105829,5
MH105830,5
MH105831,5
MH105832,5
MH105833,5
MH105834,5
KR154321,5
KC755907,5
KX509798,5
KR154329,5
EU127500,5
JX679525,5
KF155145,5
KP137810,5
KT446475,5
KM514363,5
KM514371,5
KM514355,5
KF042260,5
KF042268,5
KX570984,15
MH266344,5
MK690593,5
MK690601,5
MK690609,5
MF173187,15
MF173308,15
MK690617,5
MH266352,5
MF173161,5
MG982823,5
KM359803,15
MH266360,5
MH266368,5
MH266376,5
MH266384,5
MN586074,5
MN586082,5
MN586090,5
MN586098,5
MN586106,5
MN586114,5
MN586122,5
MN586130,5
MN586138,5
MN586146,5
MN586154,5
MN586162,5
MN586170,5
MN586178,5
MN586186,5
MN586194,5
MN586202,5
MN586210,5
MN586218,5
MN586226,5
MN586234,5
KM359813,15
KM359804,15
MF173271,5
MG982846,5
MF173144,15
MH266392,5
MF173138,5
MG982799,5
KM203340,19
MF173334,5
KX571042,5
MF173395,15
KM359805,15
KX570961,5
JF714153,5
MH018582,36
KY924963,58
KY925951,58
KY925720,38
KY926059,38
KY924976,58
KY925589,38
KY925125,38
KY925670,58
KY925599,38
CY010396,37
CY007587,38
CY007795,38
CY007595,38
CY007803,38
CY007811,38
CY008003,38
CY019205,37
CY007603,38
CY009860,37
CY008276,38
CY010132,37
CY007787,38
CY007435,38
CY007443,38
CY007451,38
CY007459,38
CY010476,37
CY007467,37
CY007475,38
CY007987,38
CY007995,38
CY010308,37
CY007347,38
CY009044,38
CY010316,37
CY010324,37
CY008067,38
CY008075,38
CY008011,38
CY010332,37
CY010340,37
CY009852,38
CY011088,37
CY009980,37
CY010348,37
CY009876,37
CY007651,38
CY007955,38
CY008083,38
CY010148,37
CY007659,38
CY007371,38
CY008364,38
CY010156,37
CY007379,38
CY010764,37
CY007387,38
CY039965,38
CY039963,38
CY039964,38
CY039966,38
CY007483,38
CY007491,38
CY008372,38
CY007499,38
CY007507,38
CY008091,38
CY007531,38
CY010164,37
CY008019,38
CY008099,38
CY010772,37
CY007667,38
CY009756,37
CY010172,37
CY007403,38
CY013240,38
CY008404,38
CY010180,37
CY008043,38
CY010188,37
CY010084,38
CY008107,38
CY011408,37
CY009028,38
CY010100,37
CY010196,37
CY009188,37
CY010204,37
CY008051,38
CY009180,37
CY010212,37
CY007547,38
CY007555,38
CY008236,38
CY007883,38
CY007563,38
CY007579,38
CY009228,37
CY010220,37
CY010228,37
CY007675,38
CY009196,37
CY006923,38
CY006931,38
CY006939,38
CY008139,38
CY006955,38
CY006963,38
CY006971,38
CY006979,38
CY006987,38
CY006995,38
CY007003,38
CY007011,38
CY010236,37
CY007035,38
CY007043,38
CY007051,38
CY007059,38
CY007819,38
CY009828,37
CY009884,37
CY007683,38
CY007075,38
CY007083,38
CY007091,38
CY007099,38
CY007115,38
CY008131,38
CY010780,37
CY007123,38
CY007131,38
CY007139,38
CY010092,37
CY007187,38
CY007267,38
CY010244,37
CY008027,38
CY010252,37
CY007691,38
CY011776,37
CY010260,37
CY007699,38
CY007707,38
CY009540,37
CY019981,38
CY007715,38
CY010108,37
CY010412,37
CY010268,37
CY007723,38
CY010124,37
CY007731,38
CY009844,37
CY008035,38
CY010116,37
CY009148,38
CY010276,37
CY007923,38
CY007739,38
CY009820,37
CY011080,37
CY008300,38
CY010388,37
CY010420,37
CY010284,37
CY009548,37
CY010428,37
CY008059,38
CY010436,37
CY007747,38
CY010444,37
CY007755,38
CY009764,37
CY010452,37
CY010460,37
CY010292,37
CY007939,38
